article_id,title,title_clean,framing_label,confidence,media_name,media_group,event_type,date
8eb60c0b317f,브라질 2분기 GDP 성장률 주요 43개국 중 '꼴찌',브라질 2분기 GDP 성장률 주요 43개국 중 '꼴찌',comparative,0.99774253,매일경제TV,경제지,GDP_성장률,
e09abad20eaa,일본 2분기 성장률 제자리걸음…0.05% 성장,일본 2분기 성장률 제자리걸음…0.05% 성장,pessimistic,0.9969132,매일경제TV,경제지,GDP_성장률,
30f587ac4fdd,[경제심층분석]일본 GDP 제자리걸음…아베노믹스 향방은?,일본 GDP 제자리걸음…아베노믹스 향방은?,pessimistic,0.99772805,매일경제TV,경제지,GDP_성장률,
46c5be5d4684,"중국, 2분기 GDP 성장률 6.7%↑…예상 상회","중국, 2분기 GDP 성장률 6.7%↑…예상 상회",comparative,0.9975448,매일경제TV,경제지,GDP_성장률,
893f05d08405,[경제일정]미국 1분기 GDP성장률 발표…G7정상회담 개최,미국 1분기 GDP성장률 발표…G7정상회담 개최,neutral,0.99838746,매일경제TV,경제지,GDP_성장률,
9a143c1b64cc,1분기 GDP 성장률 0.5%…속보치보다 0.1%P↑,1분기 GDP 성장률 0.5%…속보치보다 0.1%P↑,neutral,0.997537,매일경제TV,경제지,GDP_성장률,
f4aa513701e0,미 3분기 GDP 성장률 3.2%…2년래 최고치,미 3분기 GDP 성장률 3.2%…2년래 최고치,optimistic,0.99722856,매일경제TV,경제지,GDP_성장률,
542af7ba7d5c,미 2분기 GDP 3%…9분기만에 최고,미 2분기 GDP 3%…9분기만에 최고,optimistic,0.99599093,매일경제TV,경제지,GDP_성장률,
b08123848af6,[글로벌 이슈진단] 미국 GDP 분석&8월 투자 전략,미국 GDP 분석&8월 투자 전략,neutral,0.9980172,매일경제TV,경제지,GDP_성장률,
788c8995e22f,미 지난해 4분기 GDP 2.6%…전분기보다 둔화,미 지난해 4분기 GDP 2.6%…전분기보다 둔화,pessimistic,0.9950205,매일경제TV,경제지,GDP_성장률,
0f09a35de4e5,[이슈진단] 오늘 중국 전인대 개막…'경제성장률'에 주목해야,오늘 중국 전인대 개막…'경제성장률'에 주목해야,neutral,0.9982633,매일경제TV,경제지,GDP_성장률,
ef93be8a3a38,한국 GDP 대비 가계빚 증가속도 '세계 최상위권',한국 GDP 대비 가계빚 증가속도 '세계 최상위권',comparative,0.99882334,매일경제TV,경제지,GDP_성장률,
6cad2737e313,지난해 1인당 국민소득 3만2천 달러…경제성장률 2.0%,지난해 1인당 국민소득 3만2천 달러…경제성장률 2.0%,neutral,0.9963637,매일경제TV,경제지,GDP_성장률,
e1cfba538304,"[전화연결] 파월 미 연준의장 ""인플레 목표치에 3년 걸릴수도""…금리장기동결 시사 / 한은, 기준금리 0.5%로 동결…올해 성장률 3.0% 유지","파월 미 연준의장 ""인플레 목표치에 3년 걸릴수도""…금리장기동결 시사 / 한은, 기준금리 0.5%로 동결…올해 성장률 3.0% 유지",neutral,0.9967878,매일경제TV,경제지,GDP_성장률,
cb3011351fcd,"[전화연결] 화이자 코로나 백신, 오늘 중앙약심…내일 결과 공개 / 한은 금통위 연 0.5%로 금리 동결…경제성장률 전망치 3.0% 유지 / 작년 3분기 청년층 임금근로 일자리 15만개 사라져","화이자 코로나 백신, 오늘 중앙약심…내일 결과 공개 / 한은 금통위 연 0.5%로 금리 동결…경제성장률 전망치 3.0% 유지 / 작년 3분기 청년층 임금근로 일자리 15만개 사라져",pessimistic,0.8046506,매일경제TV,경제지,GDP_성장률,
0a4a308f7658,"무디스, 올해 한국 경제 성장률 3.5%→4.0% 상향 전망","무디스, 올해 한국 경제 성장률 3.5%→4.0% 상향 전망",optimistic,0.9972295,매일경제TV,경제지,GDP_성장률,
7472dceb28e1,"[전화연결] 대한민국 경제 '꾸역꾸역' 2분기 경제성장률 0.7%, 수출 줄었지만 민간소비로 버텨 外","대한민국 경제 '꾸역꾸역' 2분기 경제성장률 0.7%, 수출 줄었지만 민간소비로 버텨 外",pessimistic,0.99727565,매일경제TV,경제지,GDP_성장률,
cead32a4911a,"한국은행, 올해 2분기 경제성장률 0.7% 집계","한국은행, 올해 2분기 경제성장률 0.7% 집계",neutral,0.7046445,매일경제TV,경제지,GDP_성장률,
48e8e138a567,"[전화연결] 나라 '곳간' 확 쪼인다, 내년 GDP 대비 재정적자 비율 4년 만에 3% 이내로 낮춘다 外","나라 '곳간' 확 쪼인다, 내년 GDP 대비 재정적자 비율 4년 만에 3% 이내로 낮춘다 外",neutral,0.557194,매일경제TV,경제지,GDP_성장률,
6db40e744adf,"중국 관영지 ""올해 5.0% 이상의 성장률 목표 제시할 듯""","중국 관영지 ""올해 5.0% 이상의 성장률 목표 제시할 듯""",neutral,0.9967332,매일경제TV,경제지,GDP_성장률,
