article_id,title_clean,framing_label,media_name,media_group,event_type,date
f6a87585af0c,작년 한국 해외 역직구 건수 36% 늘어,optimistic,연합뉴스,통신사/방송,수출입동향,2019-02-25
d95423c1aba7,정부가 여는 해외취업설명회에도 일본 뺐다,neutral,중앙일보,보수,고용동향,2019-08-20
d1d043d37673,"""중국, 경기 수축 국면 진입할 가능성…글로벌 경기둔화 우려""",pessimistic,연합뉴스,통신사/방송,경기침체,2019-03-03
2d6394817780,미 가계부채 15년 만에 가장 빨리 늘어,pessimistic,서울경제,경제지,가계부채,2022-11-16
c51916e2fcc0,"미국 증시, 잇단 금리인상 지지 발언에 하락 마감…다우 0.18%↓",pessimistic,한국경제,경제지,기준금리,2016-08-26
b7f880f70ddd,7월 수출 6.2%↑…휴대폰 28개월 만에 증가세로 전환,optimistic,한겨레,진보,수출입동향,2018-08-01
5d473a939b81,성장·물가 연말 갈수록 둔화···긴축 신호 약해진 한은,pessimistic,서울경제,경제지,물가_인상,2017-08-28
ae23680d7c36,멀티플렉스 '꼼수 인상'에 평균 관람료 8천 원대…역대 최고,neutral,SBS,통신사/방송,소비자물가,2016-09-02
e7b4f5b5c418,美 3월 금리인상 부각에 힘잃는 韓 금리인하 카드,pessimistic,연합뉴스,통신사/방송,가계부채,2017-03-04
0e6ce69fe964,"뉴욕증시, 9월 금리 향방 결정할 고용·물가지표 발표",neutral,한국경제,경제지,고용동향,2016-08-28
14d29d0894f7,"'고용연장' 부작용 뻔한데···文, 총선 두달전 불쑥 꺼내",neutral,서울경제,경제지,고용동향,2020-02-11
e851d1a48ebd,"美연준 인사들, '물가안정 의지' 지원사격…9월 금리엔 말 아껴",neutral,연합뉴스,통신사/방송,기준금리,2022-08-31
4ce659026f8d,유로존 8월 인플레 2.1%↑…9월 금리 동결 확실시,neutral,한국경제,경제지,기준금리,2025-09-02
1524bd172a2d,"래커 美연준은행장 ""현재 기준금리 낮아…인상 늦을수록 위험""",alarmist,연합뉴스,통신사/방송,고용동향,2016-09-03
2f84e12f2ede,"中 갈륨·게르마늄 수출, 통제 앞두고 7월 22% 급증",neutral,연합뉴스,통신사/방송,반도체_수출,2023-09-01
f4ce13c1ec71,세계 경제 성장률 전망치 줄하향…신종 코로나 여파,pessimistic,SBS Biz,경제지,GDP_성장률,2020-02-09
3a248db35083,"국제금값, 관세 불확실성·안전자산 선호에 연일 사상 최고치",optimistic,연합뉴스,통신사/방송,국채_금리,2025-09-03
394a44cc5ec0,"직장인 37% 캥거루족…""어쩔 수 없다"" vs ""도전정신 부족""",comparative,연합뉴스,통신사/방송,부동산가격,2018-03-02
35f013f49b66,"4월 고용동향, 취업자 47.6만명 감소…정부 대응책은?",pessimistic,SBS Biz,경제지,고용동향,2020-05-13
