article_id,framing_label,event_type,title_clean
f6a87585af0c,optimistic,수출입동향,작년 한국 해외 역직구 건수 36% 늘어
d95423c1aba7,neutral,고용동향,정부가 여는 해외취업설명회에도 일본 뺐다
d1d043d37673,pessimistic,경기침체,"""중국, 경기 수축 국면 진입할 가능성…글로벌 경기둔화 우려"""
2d6394817780,pessimistic,가계부채,미 가계부채 15년 만에 가장 빨리 늘어
c51916e2fcc0,pessimistic,기준금리,"미국 증시, 잇단 금리인상 지지 발언에 하락 마감…다우 0.18%↓"
b7f880f70ddd,optimistic,수출입동향,7월 수출 6.2%↑…휴대폰 28개월 만에 증가세로 전환
5d473a939b81,pessimistic,물가_인상,성장·물가 연말 갈수록 둔화···긴축 신호 약해진 한은
ae23680d7c36,neutral,소비자물가,멀티플렉스 '꼼수 인상'에 평균 관람료 8천 원대…역대 최고
e7b4f5b5c418,pessimistic,가계부채,美 3월 금리인상 부각에 힘잃는 韓 금리인하 카드
0e6ce69fe964,neutral,고용동향,"뉴욕증시, 9월 금리 향방 결정할 고용·물가지표 발표"
14d29d0894f7,neutral,고용동향,"'고용연장' 부작용 뻔한데···文, 총선 두달전 불쑥 꺼내"
e851d1a48ebd,neutral,기준금리,"美연준 인사들, '물가안정 의지' 지원사격…9월 금리엔 말 아껴"
4ce659026f8d,neutral,기준금리,유로존 8월 인플레 2.1%↑…9월 금리 동결 확실시
1524bd172a2d,alarmist,고용동향,"래커 美연준은행장 ""현재 기준금리 낮아…인상 늦을수록 위험"""
2f84e12f2ede,neutral,반도체_수출,"中 갈륨·게르마늄 수출, 통제 앞두고 7월 22% 급증"
f4ce13c1ec71,pessimistic,GDP_성장률,세계 경제 성장률 전망치 줄하향…신종 코로나 여파
3a248db35083,optimistic,국채_금리,"국제금값, 관세 불확실성·안전자산 선호에 연일 사상 최고치"
394a44cc5ec0,comparative,부동산가격,"직장인 37% 캥거루족…""어쩔 수 없다"" vs ""도전정신 부족"""
35f013f49b66,pessimistic,고용동향,"4월 고용동향, 취업자 47.6만명 감소…정부 대응책은?"
a327a8cbdd4f,alarmist,가계부채,"OECD ""가파르게 느는 가계부채, 한국인 삶의 질 위협"""
91b6497df657,optimistic,물가_인상,"뉴욕증시, 미 금리 인상 경계 속 소폭 상승 출발"
3fec351df724,pessimistic,부동산_대출,산업대출 1천조 첫 돌파…1분기 부동산업 대출 4.8조↑
932224eff73d,neutral,최저임금,"내년도 최저임금 9천160원 확정, 내년 1월 1일부터 적용"
c3238ec5d543,neutral,물가_인상,"이주열 ""통화완화기조 유지…물가 상승압력 커질 수도"""
6b21dc6205c4,pessimistic,경기침체,"“개업보다 폐업이 더 많아”…끝없는 침체 공인중개사, 지난달 폐업 941명"
d012a3c27ad7,pessimistic,반도체_수출,올해 기계산업 전망 '흐림'…생산·수출 모두 감소 예상
