time,value,item_name,series_name,unit,stat_name,indicator
201509,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201510,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201511,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201512,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201601,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201602,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201603,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201604,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201605,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201606,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201607,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201608,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201609,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201610,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201611,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201612,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201701,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201702,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201703,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201704,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201705,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201706,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201707,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201708,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201709,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201710,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201711,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201712,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201801,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201802,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201803,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201804,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201805,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201806,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201807,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201808,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201809,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201810,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201811,1.75,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201812,1.75,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201901,1.75,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201902,1.75,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201903,1.75,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201904,1.75,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201905,1.75,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201906,1.75,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201907,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201908,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201909,1.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201910,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201911,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
201912,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202001,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202002,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202003,0.75,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202004,0.75,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202005,0.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202006,0.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202007,0.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202008,0.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202009,0.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202010,0.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202011,0.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202012,0.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202101,0.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202102,0.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202103,0.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202104,0.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202105,0.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202106,0.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202107,0.5,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202108,0.75,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202109,0.75,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202110,0.75,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202111,1.0,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202112,1.0,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202201,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
202202,1.25,한국은행 기준금리,,연%,1.3.1. 한국은행 기준금리 및 여수신금리,기준금리
