title,content,published_at,media_name,url,keyword
日 48개월 연속 경상수지 흑자…상반기 흑자액 109조원,"(도쿄=연합뉴스) 최이락 특파원 = 일본의 올 상반기 경상수지가 10조8천411억엔(약 108조9천422억원) 흑자를 기록했다고 재무성이 8일 발표했다.
월 기준으로는 지난 6월까지 48개월 연속 경상수지 흑자를 기록했다.
재무성의 상반기 무역수지 현황에 따르면 경상수지 흑자액은 지난해 같은 기간보다 2.1% 증가한 것이다.
경상수지 가운데 수출에서 수입을 뺀 무역수지는 1조8천150억엔 흑자로 나타났다. 무역수지 흑자액은 지난해 상반기에 비해 11.2% 줄었다.
수출은 7.2% 증가한 40조467억엔이었고, 수입은 8.3% 늘어난 38조2천317억엔이었다. 수입 증가는 원유가 상승의 영향이 컸다.
재무성이 이날 함께 발표한 지난 6월 국제수지 현황에 따르면 경상수지는 1조1천756억엔 흑자였다. 경상수지 흑자는 48개월 연속이다.
무역수지는 8천205억엔 흑자였다. 수출은 9.3% 증가한 6조9천752억엔, 수입은 4.9% 늘어난 6조1천548억엔이었다.
choinal@yna.co.kr
▶놓치면 아쉬운 '핫뉴스'
▶퀴즈풀고 상품받고! 뉴스퀴즈쇼 '뉴나'
▶네이버 홈에서 [연합뉴스] 채널 구독하기",2018-08-08 10:08:20,연합뉴스,https://n.news.naver.com/mnews/article/001/0010257532?sid=101,경상수지
상반기 경상수지 흑자 6년 만에 최소,"국제유가 상승·여행수지 적자로 작년보다 17% 줄어든 297억달러
우리나라 상반기 경상수지 흑자 규모가 6년 만에 최저 수준으로 감소했다. 국제 유가가 많이 올라 수입액이 늘었고, 여행수지가 큰 적자를 냈기 때문으로 풀이된다. 한국은행이 3일 발표한 '2018년 6월 국제수지(잠정)'에 따르면 올해 상반기 경상수지는 작년 동기(357억달러) 대비 17%(60억달러) 감소한 297억달러 흑자를 기록했다. 반기(半期) 기준으로 2012년 상반기(109억달러 흑자) 이후 최저다.
수출이 3073억달러로 작년 동기 대비 9% 늘었지만 수입이 2516억달러로 12% 늘어나, 수입 증가 속도가 더 가팔랐다. 박양수 한은 경제통계국장은 ""축소된 흑자 폭 대부분은 국제 유가 상승 때문""이라고 설명했다. 국제 유가가 배럴당 10달러 오르면 연간 경상수지엔 80억달러 마이너스 효과가 있는 것으로 한은은 봤다. 지난 상반기 국제 유가는 작년 동기 대비 배럴당 16달러 올랐다.
중국인 관광객 증가세가 미미한 반면, 해외여행이 급증한 탓에 상반기 여행수지는 85억달러 적자를 기록했다. 이는 상반기 기준으로 최대 규모 적자다. 이에 따라 서비스수지 적자는 159억달러로 반기 기준으론 작년 하반기에 이어 역대 둘째로 컸다.
해운업계가 구조조정 등의 여파로 부진하며 운송수지 적자도 31억달러로 역대 최대였다. 외국인 주주 배당 증가로 배당 지급은 150억달러로 사상 최대로 늘면서 배당 소득 수지는 83억달러 적자를 봤다.
[최형석 기자
cogito@chosun.com
]
[
조선닷컴 바로가기
]
[
조선일보 구독신청하기
]
- Copyrights ⓒ 조선일보 & chosun.com, 무단 전재 및 재배포 금지 -",2018-08-04 03:05:00,조선일보,https://n.news.naver.com/mnews/article/023/0003390915?sid=101,경상수지
신흥국 경제위기 전염 조짐…통화서 주식으로 불안 확산(종합),"남아공 9년 만에 경기침체 진입·인니 루피아 가치 20년 만에 최저
""펀더멘털 약한 신흥국으로 전염 우려 커져""
자카르타 지수 3% 급락…MSCI 아시아태평양지수 1%대 하락
(서울=연합뉴스) 김지연 기자 = 신흥국 사이에 금융시장 불안이 확산되면서 일부 취약국가에서 시작된 경제위기가 신흥국 전반으로 전염될 수 있다는 우려가 커지고 있다.
최근 아르헨티나를 중심으로 중남미 통화가치가 일제히 떨어졌고 남아프리카공화국은 9년 만의 경기침체로 빠져들면서 랜드화 가치가 급락했다.
인도네시아 루피아화도 20년 만에 최저치로 떨어지고 주요 주가지수가 급락하는 등 아시아도 불안한 상황이다.
미국 연방준비제도(Fed·연준)가 오는 25∼26일(현지시간) 열리는 연방공개시장위원회(FOMC)에서 기준금리를 추가 인상하면 취약 신흥국 경제가 지난 6월 인상 때보다 더 큰 충격을 받게 될 것이라는 우려가 커지고 있다.
블룸버그에 따르면 4일 모건스탠리캐피털인터내셔널(MSCI) 신흥시장 통화 지수는 전날보다 0.5% 하락한 데 이어 5일에도 0.1% 떨어지는 등 하락세를 이어가고 있다.
이 지수는 작년 5월 이후 16개월 만에 최저 수준에 머물고 있다.
이날 하락세는 중남미 국가들과 남아공이 주도했다.
남아공은 올해 1분기 국내총생산(GDP)이 전기 대비 연율 2.6% 감소한 데 이어 2분기 GDP도 0.7% 감소하면서 상반기 경제성장률이 2009년 이후 처음으로 경기침체에 돌입했다.
농업생산이 둔화하고 소비자 지출도 감소한 것이 주원인이다.
사하라 이남 아프리카에서 가장 산업화된 남아공은 27%를 넘는 높은 실업률 등 구조적 문제를 안고 있는 데다 시릴 라마포사 정부의 토지개혁을 둘러싸고 논란이 커졌고 연료 가격 급등도 소비자들을 압박하고 있다.
2분기에 0.6% 성장을 기대했던 시장은 충격에 빠졌다.
랜드화 가치는 4일 전날보다 3% 넘게 폭락했고 5일 현재도 세계 외환시장에서 2년여 만의 최저 수준인 달러당 15.34∼15.35랜드에 거래되고 있다.
아르헨티나 페소 가치는 달러당 38.95페소로 사상 최저치를 또 경신했다.
전날 긴축계획을 발표한 데 이어 국제통화기금(IMF)과 구제금융 강화 방안을 논의하고 있지만, 페소화 하락을 막진 못했다.
또 다른 신흥국 불안의 주역인 터키는 내주 중앙은행의 통화정책회의를 앞두고 기준금리 인상 기대감이 커졌으나 시장을 실망시키는 결과가 나올 것이라는 우려가 여전해 달러당 6.65리라 안팎의 높은 환율이 이어지고 있다.
소마 쓰토무 SBI증권 채권거래 제너럴 매니저는 블룸버그에 아르헨티나와 터키의 시장안정 조치가 이들 국가의 펀더멘털 개선에 충분치 않다며 미국 연준의 금리 인상과 맞물려 다른 신흥시장으로의 전염 리스크가 커지고 있다고 말했다.
중남미 국가들은 무역 우려가 해소되지 않은 데다 아르헨티나 불안의 영향을 받으면서 4일 멕시코 페소와 칠레 페소, 콜롬비아 페소 가치가 일제히 1% 넘게 급락했다.
인도네시아는 통화 방어를 위한 중앙은행의 시장 개입에도 불구하고 달러당 14,935루피아로 외환위기 때인 1998년 이후 20년 만에 가장 낮은 수준을 기록했고 5일 오전에도 거의 비슷한 수준에 거래되고 있다.
블룸버그통신은 신흥시장의 매도세 확산으로 통화위기 전염 리스크가 무시하기에는 너무 커졌다고 지적했다.
후카야 마사카쓰 미즈호은행 신흥통화 트레이더는 ""아르헨티나와 터키에서 경상수지 적자와 높은 물가상승률 등 펀더멘털이 약한 신흥국으로 전염될 위험이 커지고 있다""며 ""인도네시아, 브라질, 인도, 남아공이 통화 취약국가""라고 진단했다.
루크먼 오투누가 런던 FXTM 애널리스트도 ""터키와 아르헨티나 혼란이 가중되면 신흥시장 통화는 더 어려움을 겪을 것""이라며 ""세계 무역갈등, 미국 달러 안정, 높은 미국 금리가 더해져 신흥국 통화의 중단기 압박이 이어질 수 있다""고 말했다.
투자자들의 불안은 외환시장에서 증시로 확산하고 있다.
4일 중남미 증시에서 아르헨티나 메르발지수는 전날보다 4.1%, 브라질 보베스파지수는 1.9%, 칠레 입사지수는 1.2% 떨어졌다.
이어 5일 아시아 증시도 일제히 약세다.
인도네시아 자카르타종합지수는 한국시간으로 오후 2시께 전날보다 3.3% 급락했고 오후 3시께 싱가포르 스트레이츠 타임스 지수는 1.2%, 태국 SET지수는 0.8% 하락했다.
신흥국 불안과 무역 불확실성에 중화권 증시도 흔들렸다. 이날 오후 3시께 중국 상하이종합지수는 1.2%, 홍콩 항셍지수는 2.2%, 대만 자취안(加權)지수는 0.2% 하락했다.
MSCI 아시아태평양 지수는 1.2% 하락률을 보이고 있다.
후카야 고지 FPG증권 최고경영자(CEO)는 블룸버그에 ""하락세가 멈출 징후가 없는 것 같다""며 ""투자자들이 점점 까다로워지고 있어 경제 성장 둔화와 국제수지 악화, 물가상승률 상승 등 부정적 뉴스가 있는 나라는 바로 매도세에 직면한다""고 설명했다.
cherora@yna.co.kr
▶뭐하고 놀까? '#흥'
▶뉴스가 보여요 - 연합뉴스 유튜브
▶네이버 홈에서 [연합뉴스] 채널 구독하기",2018-09-05 15:32:56,연합뉴스,https://n.news.naver.com/mnews/article/001/0010323624?sid=101,경상수지
"[그래픽] 5월 경상수지 흑자, 8개월만에 최대","(서울=연합뉴스) 김토일 기자 =  한국은행이 5일 발표한 '2018년 5월 국제수지(잠정)'를 보면 5월 경상수지는 86억8천만달러 흑자였다.
경상수지 흑자는 2012년 3월 이후 75개월 연속 흑자 행진을 이어갔다.
kmtoil@yna.co.kr
페이스북 tuney.kr/LeYN1 트위터 @yonhap_graphics
▶2018 러시아 월드컵의 모든 것
▶뉴스가 보여요 - 연합뉴스 유튜브
▶기사제보 및 문의",2018-07-05 08:39:37,연합뉴스,https://n.news.naver.com/mnews/article/001/0010191361?sid=101,경상수지
경상수지 흑자 8개월만에 최대…반도체 수출 탄탄,"반도체 덕분에 경상수지 흑자 규모가 8개월만에 최대를 기록했습니다.
한국은행은 지난 5월 경상수지가 86억8천만 달러 흑자를 기록했다고 발표했습니다.
작년 9월 122억9천만 달러 이후 8개월 만에 가장 큰 흑자 규모로, 반도체 수출로 상품수지 흑자가 113억9천만 달러를 기록한 덕분입니다.
김현우 기자(khwcnbc@sbs.co.kr)
☞ 의견 있는 경제채널 SBSCNBC
[홈페이지]
[뉴스스탠드]
☞ 공식 SNS
[페이스북]
저작권자 SBS플러스 & SBS I&M 무단전재-재배포 금지",2018-07-05 09:54:33,SBS Biz,https://n.news.naver.com/mnews/article/374/0000161441?sid=101,경상수지
4월 경상수지 17.7억달러 흑자…6년 만에 최소 흑자폭,"경상수지 흑자 규모가 6년 만에 가장 작은 수준으로 감소했다. 기업 수익성 개선과 외국인 주식 투자 확대 등으로 해외배당 지급이 사상 최대로 확대된 영향이다. 중국인 관광객이 다시 늘어나며 여행수지 적자는 1년4개월 만에 가장 작은 수준으로 축소됐다.
한국은행이 5일 발표한 '2018년 4월 국제수지(잠정)'를 보면 경상수지는 17억7000만달러 흑자로, 2012년 3월 이후 74개월 연속 흑자 행진을 지속했다.
그러나 흑자 규모는 2012년 4월(9000만달러) 이후 가장 작았다. 한은 관계자는 ""상품수지가 소폭 줄었고 배당지급은 크게 확대했다""고 설명했다.
상품수지는 103억6000만달러 흑자를 기록, 1년 전 같은 달(115억4000만달러 흑자)보다 축소됐다.
반도체 호황과 세계 교역 회복세에 힘입어 수출이 515억1000만달러, 원유도입 단가 상승과 반도체 제조용 장비 도입 등으로 수입은 411억5000만달러를 기록했다.
수출, 수입 모두 18개월 연속 증가세를 지속했다.
급료·임금과 배당, 이자 등 투자소득을 가리키는 본원소득수지는 58억6000만달러 적자를 냈다. 적자 폭은 사상 최대였다. 본원소득수지 가운데 배당소득수지가 역대 가장 큰 65억1000만달러 적자를 기록한 영향이 컸다.
배당지급도 사상 최대인 75억7000만달러로, 4월 평균 환율로 환산하면 8조1000억원이 넘었다. 한은 관계자는 ""3, 4월엔 배당지급이 몰리는 계절적인 영향이 있는데다가 기업 수익성 개선과 외국인 주식 투자 확대 등으로 배당지급이 작년 보다 늘었다""고 설명했다.
다만 한은 관계자는 ""배당지급이 4월에 많이 나가는 경향이 있어 경상수지가 줄어들지만 5∼6월엔 경상수지 흑자가 다시 확대할 가능성이 크다""고 전망했다.
4월 서비스수지는 19억8000만달러 적자로, 작년 5월(16억4000만달러 적자) 이래 적자 규모가 가장 작았다.
중국의 사드(고고도미사일방어체계) 보복 조치 완화에 힘입어 여행수지 적자가 줄어든 영향이 큰 것으로 풀이된다.
여행수지는 10억9000만달러 적자로, 2016년 12월(10억3000만달러 적자) 이후 가장 작았다.
여행수입이 14억3000만달러로 2016년 10월(15억4000만달러) 이후 18개월 만에 최대였고 여행지급이 25억2000만달러를 기록했다.
해외여행 수요가 이어지며 출국자가 1년 전보다 11.3% 늘었지만 입국자 수는 23.8% 늘었다.
특히 중국인 입국자가 60.9%나 급증했다.
자본유출입을 나타내는 금융계정 순자산(자산-부채)은 1000만달러 늘었다.
직접투자는 내국인의 해외투자가 21억4000만달러, 외국인 국내투자가 2억6000만달러 각각 늘었다.
주식, 채권 등 증권투자는 내국인 해외투자가 47억1000만달러 늘었다.
미국 국채 금리 상승 등으로 채권투자 증가세가 둔화하며 작년 10월(33억6000만달러) 이후 가장 작은 폭으로 늘었다.
외국인 국내투자는 7억7000만달러 증가했다.
삼성전자의 주식 액면분할과 관련한 경계감으로 주식투자는 줄었지만 양호한 국가신용등급, 외환보유액 등에 힘입어 채권투자를 중심으로 증가세를 지속하고 있다고 한은은 설명했다.
파생금융상품은 7억5000만달러 줄었다. 외환보유액에서 환율 등 비거래 요인을 제거한 준비자산은 31억2000만달러 증가했다.
기사제보 및 보도자료
open@hankyung.com
한경닷컴 뉴스룸
open@hankyung.com
[
한경닷컴 바로가기
] [
글방
] [
모바일한경 구독신청
]
ⓒ 한국경제 &
hankyung.com
, 무단전재 및 재배포 금지",2018-06-05 11:32:05,한국경제,https://n.news.naver.com/mnews/article/015/0003955304?sid=101,경상수지
경상수지마저… 흑자규모 6년 만에 최소,"4월 17억7000만弗 그쳐
'역대 최대' 해외배당 영향
그나마 버팀목이었는데…
확 줄어든 경상수지 흑자
유가 오르며 수입 급증
배당수지 적자 사상 최대
[ 김은정 기자  ] 경상수지 흑자 규모가 6년 만에 최저 수준으로 쪼그라들었다. 외국인 투자자에게 지급하는 배당이 사상 최대로 늘어난 영향이 컸다.
5일 한국은행에 따르면 올 4월 경상수지는 17억7000만달러(약 1조8947억원) 흑자를 기록했다. 2012년 3월 이후 74개월 연속 흑자 행진이다. 하지만 지난해 4월(36억7000만달러) 대비로는 절반 수준에 그쳤다. 흑자 규모는 2012년 4월(9000만달러) 후 가장 작았다.
상품수지는 103억6000만달러 흑자를 냈지만 1년 전 같은 달(115억4000만달러 흑자)보다 규모가 축소됐다. 수출(515억1000만달러)이 7% 늘어났지만 수입(411억5000만달러)은 12.5%로 더 많이 증가한 데 따른 것이다.
배당, 이자 등 투자소득을 가리키는 본원소득수지는 58억6000만달러 적자를 냈다. 적자폭은 사상 최대였다. 본원소득수지 가운데 배당소득수지가 역대 가장 큰 65억1000만달러 적자를 기록한 영향이 컸다. 배당 지급도 사상 최대인 75억7000만달러에 달했다.
노충식 한은 금융통계부장은 “3~4월엔 배당 지급이 몰리는 계절적인 영향이 있는 데다 기업 수익성 개선과 외국인 주식 투자 확대 등으로 배당 지급이 지난해보다 늘었다”고 말했다.
경상수지 흑자 규모가 6년여 만에 최저로 급감하면서 한국 경제의 펀더멘털(기초체력)을 우려하는 목소리가 나온다. 74개월째 흑자 행진이긴 하지만 흑자 규모가 72개월 만에 가장 작아졌다는 점에서다. 경상수지 흑자는 한국 경제의 버팀목이자 대내외적으로 한국 경제의 견실함을 상징한다는 측면에서 추이를 지켜볼 필요가 있다는 지적이다.
올 4월 경상수지 흑자는 17억7000만달러로 집계됐다. 2012년 3월 이후 74개월 연속 흑자지만 흑자 규모는 2012년 4월(9000만달러) 후 72개월 만에 최저 수준이다.
세계 교역 회복세에 힘입어 반도체를 중심으로 수출은 증가세(전년 대비 7.0%)를 나타냈지만 수입이 더 크게 늘면서(전년 대비 12.5%) 상품수지가 악화했다. 수입이 크게 늘어난 데는 국제 유가가 가파르게 상승하고 해외 소비 등이 급증한 영향이 컸다.
외국인에게 지급하는 배당이 사상 최대 규모로 불어난 것도 경상수지 흑자폭을 줄이는 요인이 됐다.
4월 배당소득수지는 65억1000만달러 적자로 사상 최대를 기록했다. 배당지급액이 75억7000만달러로 역대 1위 규모였다. 통상 4월에는 12월 결산법인 중 배당을 하는 곳이 많아 배당 지급이 늘어나는데 올해는 기업 수익성이 개선되고 외국인 주식 투자도 확대된 영향이 컸다고 한은은 설명했다. 이에 따라 본원소득수지는 58억6000만달러 적자를 기록했다. 적자폭은 지난해 4월(-49억2000만달러)을 뛰어넘어 사상 최대치를 찍었다.
서비스수지는 19억8000만달러 적자를 지속했지만 적자폭은 지난해 5월(-16억4000만달러) 후 11개월 만에 가장 적었다. 해외여행 수요가 계속 증가하고 있지만 중국의 사드(고고도 미사일방어체계) 보복 조치가 완화하면서 중국인 관광객이 증가한 덕분이다.
김은정 기자 kej@hankyung.com
[
한경닷컴 바로가기
] [
글방
] [
모바일한경 구독신청
]
ⓒ 한국경제 &
hankyung.com
, 무단전재 및 재배포 금지",2018-06-05 18:07:03,한국경제,https://n.news.naver.com/mnews/article/015/0003955708?sid=101,경상수지
사상최대 8조원 해외배당…경상수지 흑자 6년만에 최소(종합),"유커 돌아오며 여행적자 16개월만에 가장 작아
(서울=연합뉴스) 김수현 기자 = 경상수지 흑자 규모가 6년 만에 가장 작은 수준으로 쪼그라들었다.
기업 수익성 개선과 외국인 주식 투자 확대 등으로 해외배당 지급이 사상 최대로 확대된 영향이다.
중국인 관광객이 다시 늘어나며 여행수지 적자는 1년 4개월 만에 가장 작은 수준으로 축소됐다.
한국은행이 5일 발표한 '2018년 4월 국제수지(잠정)'를 보면 경상수지는 17억7천만달러 흑자로, 2012년 3월 이후 74개월 연속 흑자 행진을 지속했다.
그러나 흑자 규모는 2012년 4월(9천만달러) 이후 가장 작았다.
한은 관계자는 ""상품수지가 소폭 줄었고 배당지급은 크게 확대했다""고 설명했다. 상품수지는 103억6천만달러 흑자를 기록, 1년 전 같은 달(115억4천만달러 흑자)보다 축소됐다.
반도체 호황과 세계 교역 회복세에 힘입어 수출이 515억1천만달러, 원유도입 단가 상승과 반도체 제조용 장비 도입 등으로 수입은 411억5천만달러를 기록했다. 수출, 수입 모두 18개월 연속 증가세를 이어갔다.
한은, 4월 국제수지 잠정치 발표
급료·임금과 배당, 이자 등 투자소득을 가리키는 본원소득수지는 58억6천만달러 적자를 냈다. 적자 폭은 사상 최대였다.
본원소득수지 가운데 배당소득수지가 역대 가장 큰 65억1천만달러 적자를 기록한 영향이 컸다. 배당지급도 사상 최대인 75억7천만달러로, 4월 평균 환율로 환산하면 8조1천억원이 넘었다.
한은 관계자는 ""3, 4월엔 배당지급이 몰리는 계절적인 영향이 있는데다가 기업 수익성 개선과 외국인 주식 투자 확대 등으로 배당지급이 작년 보다 늘었다""고 설명했다.
다만 한은 관계자는 ""배당지급이 4월에 많이 나가는 경향이 있어 경상수지가 줄어들지만 5∼6월엔 경상수지 흑자가 다시 확대할 가능성이 크다""고 전망했다.
4월 서비스수지는 19억8천만달러 적자로, 작년 5월(16억4천만달러 적자) 이래 적자 규모가 가장 작았다.
중국의 사드(THAAD·고고도미사일방어체계) 보복 조치 완화에 힘입어 여행수지 적자가 줄어든 영향이 큰 것으로 풀이된다.
여행수지는 10억9천만달러 적자로, 2016년 12월(10억3천만달러 적자) 이후 가장 작았다.
여행수입이 14억3천만달러로 2016년 10월(15억4천만달러) 이후 18개월 만에 최대였고 여행지급이 25억2천만달러를 기록했다.
해외여행 수요가 이어지며 출국자가 1년 전보다 11.3% 늘었지만 입국자 수는 23.8% 늘었다.
특히 중국인 입국자가 60.9%나 급증했다.
자본유출입을 나타내는 금융계정 순자산(자산-부채)은 1천만달러 늘었다.
직접투자는 내국인의 해외투자가 21억4천만달러, 외국인 국내투자가 2억6천만달러 각각 늘었다.
주식, 채권 등 증권투자는 내국인 해외투자가 47억1천만달러 늘었다. 미국 국채 금리 상승 등으로 채권투자 증가세가 둔화하며 작년 10월(33억6천만달러) 이후 가장 작은 폭으로 늘었다.
외국인 국내투자는 7억7천만달러 증가했다. 삼성전자의 주식 액면분할과 관련한 경계감으로 주식투자는 줄었지만 양호한 국가신용등급, 외환보유액 등에 힘입어 채권투자를 중심으로 증가세를 지속하고 있다고 한은은 설명했다.
파생금융상품은 7억5천만달러 줄었다.
외환보유액에서 환율 등 비거래 요인을 제거한 준비자산은 31억2천만달러 늘었다.
porque@yna.co.kr
▶기사제보 및 문의
▶내 생활에 흥이나는 최신 트렌드
▶사진구매 문의",2018-06-05 10:02:41,연합뉴스,https://n.news.naver.com/mnews/article/001/0010128871?sid=101,경상수지
사상최대 8조 원 해외배당…경상수지 흑자 6년 만에 최소,"해외 배당 지급이 사상 최대로 늘면서 경상수지 흑자 규모가 6년 만에 가장 작은 수준으로 쪼그라들었습니다.
중국인 관광객이 다시 늘어나며 여행수지 적자는 1년 4개월 만에 가장 작은 수준으로 축소됐습니다.
한국은행이 발표한 '2018년 4월 국제수지(잠정)'를 보면 경상수지는 17억 7천만 달러 흑자로, 2012년 3월 이후 74개월 연속 흑자 행진을 지속했습니다.
그러나 흑자 규모는 2012년 4월 9천만 달러 이후 가장 작았습니다.
한은 관계자는 ""상품수지가 소폭 줄었고 배당지급은 크게 확대했다""고 설명했습니다.
상품수지는 103억 6천만 달러 흑자를 기록, 1년 전 같은 달 115억 4천만 달러보다 축소됐습니다.
반도체 호황과 세계 교역 회복세에 힘입어 수출이 515억 1천만 달러, 원유도입 단가 상승과 반도체 제조용 장비 도입 등으로 수입은 411억 5천만 달러를 기록했습니다.
수출, 수입 모두 18개월 연속 증가세를 이어갔습니다.
급료·임금과 배당, 이자 등 투자소득을 가리키는 본원소득수지는 58억 6천만 달러 적자를 냈습니다.
사상 최대 적자 폭으로 본원소득수지 가운데 배당소득수지가 역대 가장 큰 65억 1천만 달러 적자를 기록한 영향이 컸습니다.
배당지급도 사상 최대인 75억 7천만 달러로, 4월 평균 환율로 환산하면 8조 1천억 원이 넘었습니다.
한은 관계자는 ""3, 4월엔 배당지급이 몰리는 계절적인 영향이 있는데다가 기업 수익성 개선과 외국인 주식 투자 확대 등으로 배당지급이 작년 보다 늘었다""고 설명했습니다.
4월 서비스수지는 19억 8천만 달러 적자로, 작년 5월 16억 4천만 달러 적자 이래 적자 규모가 가장 작았습니다.
중국의 사드 보복 조치 완화에 힘입어 여행수지 적자가 줄어든 영향이 큰 것으로 풀이됩니다.
여행수지는 10억 9천만 달러 적자로, 2016년 12월 10억 3천만 달러 적자 이후 가장 작았습니다.
여행수입이 14억 3천만 달러로 2016년 10월 15억 4천만 달러 이후 18개월 만에 최대였고 여행지급이 25억 2천만 달러를 기록했습니다.
해외여행 수요가 이어지며 출국자가 1년 전보다 11.3% 늘었지만 입국자 수는 23.8% 늘었습니다.
특히 중국인 입국자가 60.9%나 급증했습니다.
자본유출입을 나타내는 금융계정 순자산은 1천만 달러 늘었습니다.
직접투자는 내국인의 해외투자가 21억 4천만 달러, 외국인 국내투자가 2억 6천만 달러 각각 늘었습니다.
주식, 채권 등 증권투자는 내국인 해외투자가 47억 1천만 달러 늘었습니다.
외국인 국내투자는 7억 7천만 달러 증가했습니다.
양호한 국가신용등급, 외환보유액 등에 힘입어 증가세를 지속하고 있다고 한은은 설명했습니다.
송욱 기자(songxu@sbs.co.kr)
☞ [선거방송의 강자] SBS가 전하는 6.13 지방선거!
☞ [마부작침 #페이미투] 남녀 임금차별 실상 공개
☞ [다시 뜨겁게! 러시아월드컵 뉴스 특집] 바로가기
※ ⓒ SBS & SBS Digital News Lab. : 무단복제 및 재배포 금지",2018-06-05 08:35:38,SBS,https://n.news.naver.com/mnews/article/055/0000646439?sid=101,경상수지
사상 최대 8조 원 해외 배당…경상수지 흑자 6년 만에 최소,"경상수지 흑자 규모가 6년 만에 가장 작은 수준으로 줄었습니다.
기업 수익성 개선과 외국인 주식 투자 확대 등으로 해외 배당 지급이 사상 최대로 확대된 영향입니다.
중국인 관광객이 다시 늘어나며 여행수지 적자는 1년 4개월 만에 가장 작은 수준으로 축소됐습니다.
한국은행이 발표한 '2018년 4월 국제수지(잠정)'를 보면 경상수지는 17억 7천만달러 흑자로, 2012년 3월 이후 74개월 연속 흑자 행진을 지속했습니다.
그러나 흑자 규모는 2012년 4월(9천만달러) 이후 가장 작았습니다.
한은 관계자는 ""상품수지가 소폭 줄었고 배당지급은 크게 확대했다""고 설명했습니다.
상품수지는 103억 6천만달러 흑자를 기록해 1년 전 같은 달(115억4천만달러)보다 축소됐습니다.
반도체 호황과 세계 교역 회복세에 힘입어 수출이 515억 1천만달러, 원유도입 단가 상승과 반도체 제조용 장비 도입 등으로 수입은 411억 5천만달러를 기록했습니다.
수출, 수입 모두 18개월 연속 증가세를 이어갔습니다.
급료·임금과 배당, 이자 등 투자소득을 가리키는 본원소득수지는 58억 6천만달러 적자를 냈습니다.
적자 폭은 사상 최대였습니다.
본원소득수지 가운데 배당소득수지가 역대 가장 큰 65억 1천만달러 적자를 기록한 영향이 컸습니다.
배당지급도 사상 최대인 75억 7천만달러로, 4월 평균 환율로 환산하면 8조1천억원이 넘었습니다.
한은 관계자는 ""3, 4월엔 배당지급이 몰리는 계절적인 영향이 있는데다가 기업 수익성 개선과 외국인 주식 투자 확대 등으로 배당지급이 작년 보다 늘었다""고 설명했습니다.
4월 서비스수지는 19억 8천만달러 적자로, 작년 5월(16억4천만달러 적자) 이래 적자 규모가 가장 작았습니다.
중국의 사드(THAAD·고고도미사일방어체계) 보복 조치 완화에 힘입어 여행수지 적자가 줄어든 영향이 큰 것으로 풀이됩니다.
여행수지 적자는 10억 9천만달러로, 2016년 12월(10억3천만달러 적자) 이후 가장 작았습니다.
여행수입이 14억 3천만달러로 2016년 10월(15억4천만달러) 이후 18개월 만에 최대였고 여행지급이 25억 2천만달러를 기록했습니다.
해외여행 수요가 이어지며 출국자가 1년 전보다 11.3% 늘었지만 입국자 수는 23.8% 늘었습니다.
특히 중국인 입국자가 60.9%나 급증했습니다.
자본유출입을 나타내는 금융계정 순자산(자산-부채)은 1천만달러 늘었습니다.
직접투자는 내국인의 해외투자가 21억4천만달러, 외국인 국내투자가 2억6천만달러 각각 늘었습니다.
주식, 채권 등 증권투자는 내국인 해외투자가 47억1천만달러 늘었습니다.
외국인 국내투자는 7억7천만달러 증가했습니다.
양호한 국가신용등급, 외환보유액 등에 힘입어 증가세를 지속하고 있다고 한은은 설명했습니다.
파생금융상품은 7억5천만달러 줄었습니다.
외환보유액에서 환율 등 비거래 요인을 제거한 준비자산은 31억2천만달러 늘었습니다.
박민하 기자(mhpark@sbs.co.kr)
☞ [선거방송의 강자] SBS가 전하는 6.13 지방선거!
☞ [마부작침 #페이미투] 남녀 임금차별 실상 공개
☞ [다시 뜨겁게! 러시아월드컵 뉴스 특집] 바로가기
※ ⓒ SBS & SBS Digital News Lab. : 무단복제 및 재배포 금지",2018-06-05 10:05:21,SBS,https://n.news.naver.com/mnews/article/055/0000646465?sid=101,경상수지
