title,content,published_at,media_name,url,keyword
“고용상황 개선”?…고용동향 계절조정지수 논란 살펴보니,"정부, 상황개선 근거로 내세워
일부 언론 ‘아전인수식 해석’ 비판
미·일·영은 일찌감치 사용
국내선 활용 의견 엇갈려
코로나19로 고용시장 사정이 불확실한 가운데 최근 통계청이 발표한 7월 고용동향 결과를 어떻게 해석하느냐를 두고 논란이 일고 있다. 정부는 계절조정지수를 이용한 전월비 취업자수 증감 데이터를 근거로 취업시장이 회복되고 있다고 주장한 반면, 보수언론을 중심으로 ‘아전인수식 해석’이라는 비판이 나온다.
18일 홍남기 부총리 겸 기획재정부 장관의 페이스북을 보면, “우리 고용지표는 1년 전의 같은 달과 비교하는 방식을 주로 사용하고 있지만 계절요인을 제거한 숫자를 지난달과 직접 비교하는 방식이 효과적”이라며 “계절조정 전월비 취업자수는 5월 15만3천명, 6월 7만9천명, 그리고 지난 7월 7만2천명으로 3개월 연속 증가하고 있다. 코로나19 이전에 비해서는 여전히 어렵지만, 5월부터 고용상황이 매달 꾸준히 나아지고 있다”고 지난 12일 밝혔다. 이를 두고 ‘외환위기 이후 최악’의 고용 지표에도 ‘자화자찬’이라는 비판이 나왔다. 당시 통계청은 7월 취업자 수가 2710만6천명으로 지난해 같은 달보다 27만7천명 줄었고, 3월(-19만5천명) 이후 다섯달 연속 감소세라고 밝힌 바 있다.
홍 부총리가 밝힌 계절조정 전월비 취업자수는 원데이터에서 계절에 따른 변동요인을 제거한 뒤 취업자수 변화를 한달 전과 비교한 것이다. 예를 들어, 2월 졸업식이 끝나면 실업자수가 늘거나 가을에 공채를 실시하는 기업이 많아 취업률이 상승하는 등의 변화를 없앤 것이다. 특히 전년동월이 아니라 전월과 비교하는 방식이어서 코로나19로 인한 고용시장 추세 변화를 파악하는데 용이한 측면이 있다.
미국이나 일본, 영국, 캐나다 등은 일찌감치 계절조정지수를 활용해 취업률, 실업률 등 고용동향을 발표하고 있다. 미국 노동부 노동통계국(BLS)은 누리집에서 계절조정지수를 “고용과 실업이 월별로 어떻게 변화하는지 밝히는 통계 기법으로, 뉴스에 보도되는 월별 고용과 실업자 수는 계절적으로 조정된 데이터”라며 “수개월의 데이터를 비교할 때 유용하다”고 밝히고 있다. 경제협력개발기구(OECD) 역시 회원국 간 월별 실업률을 비교할 때 이 방식을 쓴다.
이에 대해 이병희 한국노동연구원 사회정책연구본부장은 “코로나19에 따른 고용시장 상황을 파악하기 위해서는 계절조정이 반영된 월별 흐름을 보는 것이 맞고, 전월보다 변화된 수치는 코로나19가 주된 원인이라고 해석해야 한다”고 말했다. 한국노동사회연구소도 계절조정지수를 활용해 “2월 대비 6월 취업자 수가 79만명 감소한 것은 코로나 위기가 고용에 끼친 부정적 효과가 크고 그 상처가 오래 갈 것임을 말해준다”고 해석하고 있다. 기재부는 계절조정지수가 옳다고 보면서도 전전긍긍하고 있다. 기재부 관계자는 “미국이나 유럽의 선진국은 경제흐름을 볼 수 있어 고용에 관해 계절조정지수를 주로 쓰는 경우가 많다”면서도 “통계청 업무에 대해 기재부가 얘기할 수는 없는 입장”이라고 말했다.
반면 주원 현대경제연구원 경제연구실장은 “우리의 경우 음력을 써서 명절이 매년 바뀌는 등 외국보다 변동성이 커 적어도 고용동향과 관련해 계절조정지수를 사용하기에는 시기상조”라고 주장했다.
이정훈 기자 ljh9242@hani.co.kr
▶더불어 행복한 세상을 만드는 언론, 한겨레 구독하세요!
▶네이버 채널 한겨레21 구독
▶2005년 이전 <한겨레> 기사 보기
[ⓒ한겨레신문 : 무단전재 및 재배포 금지]",2020-08-18 22:06:07,한겨레,https://n.news.naver.com/mnews/article/028/0002509242?sid=101,고용동향
7월 고용동향 브리핑하는 정동명 사회통계국장,"(세종=연합뉴스) 김주형 기자 = 정동명 통계청 사회통계국장이 12일 오전 세종시 정부세종청사에서 2020년 7월 고용동향 브리핑을 하고 있다. 2020.8.12
kjhpress@yna.co.kr
▶집중호우 속보는 네이버 연합뉴스[구독 클릭]
▶[팩트체크]태양광설비와 산사태 연관성?
▶제보하기",2020-08-12 09:19:07,연합뉴스,https://n.news.naver.com/mnews/article/001/0011808568?sid=102,고용동향
"고용동향 발표 직후 홍남기 페북에 ""5월부터 꾸준히 나아지고 있다""","홍남기 부총리 겸 기획재정부 장관은 5월 이후 고용상황이 나아지고 있다고 12일 밝혔다.
다만 최근 집중호우가 고용시장에 큰 부담 요인이 될 수 있다고 했다.
홍 부총리는 이날 통계청의 7월 고용동향 발표 직후 자신의 페이스북에 올린 글을 통해 이같이 밝혔다.
그는 ""코로나19 확산 이후 고용시장 어려움이 지속되고 있다""면서 ""다행스러운 것은 전년 동월 비 취업자 감소폭이 4월을 저점(-47만6000명)으로, 5월 -39만2000명, 6월 -35만2000명, 7월 -27만7000명으로 석 달 연속 줄어들고 있다는 점""이라고 분석했다.
다만 홍 부총리는 ""숙박·음식업 취업자가 지난해보다 22만5000명 감소하는 등 대면업무 비중이 높은 업종 상당수가 여전히 큰 어려움을 겪고 있고 청년층의 고용지표 개선도 더디다는 점은 특히 마음 아픈 부분""이라면서 ""또 최근 집중호우로 다음달 발표될 8월 고용상황도 큰 부담 요인""이라고 말했다.
[디지털뉴스국 news@mkinternet.com]
▶네이버 메인에서 '매일경제'를 받아보세요
▶'매일경제' 바로가기
▶뉴스레터 '매콤달콤' 구독
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]",2020-08-12 08:50:03,매일경제,https://n.news.naver.com/mnews/article/009/0004633488?sid=101,고용동향
다음주 코로나 경기 대책 나올까?,"다음 주 주요 경제 일정
재정·고용·대출 통계도 관심
다음 주에는 코로나19 재확산에 대응하기 위한 정부 경기 대책의 윤곽이 드러날 전망입니다.
또 최근 재정·고용, 대출·통화량 관련 지표들도 속속 공개될 예정입니다.
모두 코로나19의 경제 여파를 가늠할 수 있는 통계들입니다.
최근 김용범 기획재정부 제1차관은 경기보강 대책의 윤곽을 잡아 다음 주 중 발표할 예정이라고 밝혔습니다.
정부는 이번 코로나19 2차 확산의 피해가 큰 영역에 경기 대책의 재원을 집중할 계획입니다.
사회적 거리두기 강화로 매출이 급감한 자영업자나 소상공인 등이 대상이 될 것으로 예상됩니다.
역대 최장 기간에 걸친 장마와 코로나19로 피해를 본 고용 취약계층 역시 우선 지원 대상입니다.
오는 8일에는 기획재정부가 월간 재정동향을 내놓습니다.
재정동향은 세입과 세출, 이에 따른 나라살림(재정) 사정을 확인할 수 있는 자료입니다.
올해 1∼6월 총수입(226조원)은 지난해 같은 기간보다 20조1천억원 줄고 총지출(316조원)은 31조4천억원 증가했습니다.
통합재정수지에서 4대 보장성 기금을 뺀 관리재정수지는 상반기 110조5천억 원 적자를 기록한 바 있습니다.
관리재정수지는 정부의 실질적 재정 상태를 반영합니다.
통계청은 오는 9일 고용동향을 공개합니다.
코로나19 2차 확산 시기가 8·15 광복절 직후였던 점을 고려하면 2차 확산에 따른 고용 악화가 감지될 것으로 예상됩니다.
같은 날 한국은행은 '8월 중 금융시장 동향'을 발표합니다.
앞서 7월 말 기준 통계에서는 은행의 가계대출 잔액이 936조5천억원으로 6월 말보다 7조6천억원이나 급증했습니다.
7월만 놓고 보면 지난 2004년 통계 집계 이후 최대치였습니다.
가계대출 가운데 전세자금 대출을 포함한 주택담보대출(잔액 689조8천억원)이 한 달 사이 4조원 늘었고, 신용대출을 등 가계 기타대출(잔액 245조6천억원)도 3조7천억원 늘었습니다.
신용대출 7월 증가액은 2018년 10월(4조2천억원) 이후 가장 컸습니다.
이어 10일 한은은 통화신용정책보고서를 국회에 제출하고, 11일 '7월 중 통화 및 유동성' 통계를 공개합니다.
지난 6월 광의 통화량(M2 기준)은 3천77조1천억원으로, 5월보다 23조2천억원(0.8%) 늘어 다시 최대 기록을 갈아치웠습니다.
코로나19 사태와 저금리의 영향으로 여전히 기업과 가계 등이 대출을 통해 자금을 대거 확보하고 있기 때문에, 시중 통화량은 7월에도 기록 경신 행진을 이어갈 전망입니다.
우형준 기자(hyungjun.woo@sbs.co.kr)
▶
언제어디서나 SBSCNBC  [온에어click]
▶
경제를 실험한다~ 머니랩 [네이버TV]
저작권자 SBS미디어넷 & SBS I&M 무단전재-재배포 금지",2020-09-05 09:34:26,SBS Biz,https://n.news.naver.com/mnews/article/374/0000220097?sid=101,고용동향
6월 노동시장 동향 브리핑하는 권기섭 고용정책실장,"(세종=연합뉴스) 김주형 기자 = 권기섭 고용노동부 고용정책실장이 13일 오전 세종시 정부세종청사에서 고용행정 통계로 본 '2020.6월 노동시장 동향'에 대해 브리핑하고 있다. 2020.7.13
kjhpress@yna.co.kr
▶코로나19 속보는 네이버 연합뉴스[구독 클릭]
▶[팩트체크]미 교도소행 면한 손정우, 국내서는?
▶제보하기",2020-07-13 12:00:03,연합뉴스,https://n.news.naver.com/mnews/article/001/0011741788?sid=102,고용동향
6월 고용동향 발표하는 정동명 사회통계국장,"(세종=연합뉴스) 김주형 기자 = 정동명 통계청 사회통계국장 15일 오전 세종시 정부세종청사에서 2020년 6월 고용동향 브리핑을 하고 있다. 2020.7.15
kjhpress@yna.co.kr
▶코로나19 속보는 네이버 연합뉴스[구독 클릭]
▶[팩트체크]백선엽 대전현충원 안장 '홀대논란'
▶제보하기",2020-07-15 09:18:31,연합뉴스,https://n.news.naver.com/mnews/article/001/0011746165?sid=102,고용동향
5월 노동시장 동향 브리핑하는 권기섭 고용정책실장,"(세종=연합뉴스) 김주형 기자 = 고용노동부 권기섭 고용정책실장이 8일 오전 세종시 정부세종청사에서 고용행정통계로 본 '2020년 5월 노동시장 동향' 브리핑을 하고 있다. 2020.6.8
kjhpress@yna.co.kr
▶코로나19 속보는 네이버 연합뉴스에서 [구독 클릭]
▶[팩트체크] 뜨거운 감자 '비동의 간음죄'
▶제보하기",2020-06-08 12:08:33,연합뉴스,https://n.news.naver.com/mnews/article/001/0011662988?sid=102,고용동향
5월 고용동향 브리핑하는 정동욱 고용통계과장,"(세종=연합뉴스) 김주형 기자 = 통계청 정동욱 고용통계과장이 10일 오전 세종시 정부세종청사에서 2020년 5월 고용동향 브리핑을 하고 있다. 2020.6.10
kjhpress@yna.co.kr
▶코로나19 속보는 네이버 연합뉴스에서 [구독 클릭]
▶[팩트체크] 뜨거운 감자 '비동의 간음죄'
▶제보하기",2020-06-10 09:14:48,연합뉴스,https://n.news.naver.com/mnews/article/001/0011667600?sid=102,고용동향
상반기 실업률 1위 구미·오산…농어촌보다 도시 코로나 타격↑,"통계청 지역별 고용조사…특별·광역시 뺀 9개 도 시·군 분석
(세종=연합뉴스) 차지연 기자 = 올해 상반기 특별·광역시를 제외한 9개 도의 77개 시(市) 가운데 경북 구미와 경기 오산의 실업률이 가장 높았던 것으로 나타났다.
신종 코로나바이러스 감염증(코로나19) 여파로 전국 대부분 지역의 고용 상황이 악화한 가운데 시 지역이 농·어촌이 많은 군(郡) 지역보다 상대적으로 더 타격을 입은 것으로 조사됐다.
구미·오산, 시 지역 실업률 1위…고용률은 동두천 최저
25일 통계청이 발표한 지역별 고용조사 시군별 주요 고용지표에 따르면, 올해 상반기 77개 시 가운데 경북 구미와 경기 오산의 실업률이 5.4%로 가장 높았다.
다음으로는 경기 구리(5.3%), 경기 남양주(5.1%), 경기 시흥(5.1%) 순이었다.
77개 군 지역 중에는 충북 증평이 4.4%로 가장 높았고, 경남 고성(3.8%), 충북 진천(3.5%), 강원 양구(3.4%), 경북 칠곡(3.2%)이 뒤를 이었다.
고용률은 시 지역 중 경기 동두천(50.9%)이 가장 낮았고 경기 과천(51.4%), 경기 남양주(52.9%), 전북 군산(53.0%), 경기 의정부(53.2%) 순이었다.
군 지역에서는 경기 양평(57.8%), 충북 증평(58.7%), 경북 칠곡(59.1%), 충남 금산(60.3%), 경남 함안(60.6%) 등의 고용률이 낮았다.
고용률이 가장 높은 시 지역은 제주 서귀포(69.4%)였다. 그러나 서귀포의 고용률은 이번이 통계 작성을 시작한 2013년 상반기 이후 가장 낮았다.
충남 당진(68.1%), 충남 서산(66.5%) 등도 고용률이 높은 시 지역이었다.
군 지역 중에는 경북 울릉(81.7%)의 고용률이 가장 높았고, 전북 장수(79.6%), 전남 신안(76.6%) 등도 높았다.
같은 도 내에서 고용률 상·하위 시군 간 격차가 가장 큰 곳은 경북이었다. 울릉(81.7%)과 경산(54.4%)이 27.3%포인트 차이가 났다.
반면 제주는 고용률이 가장 높은 서귀포(69.4%)와 제주(62.7%) 간 격차가 6.7%포인트로 9개 도 가운데 가장 작았다.
1년 전보다 고용률이 가장 많이 오른 지역은 전북 임실(66.8%→70.9%)이었고 가장 많이 내린 지역은 전남 곡성(69.6%→64.7%)이었다.
청년층(15∼29세) 취업자 비중이 가장 높은 곳은 경기 수원(17.1%)이었고 가장 낮은 곳은 경북 영양(2.9%)이었다. 고령층(55세 이상) 취업자 비중이 가장 높은 곳은 경북 군위(66.4%)였고 낮은 곳은 경기 오산(19.3%)이었다.
""군 지역보다 시 지역이 코로나19에 더 타격""
이번 조사는 코로나19가 확산하던 지난 4월 진행됐다.
코로나19 여파는 농림어업 비중이 높은 군 지역보다 제조업과 서비스업 비중이 높은 시 지역에 강하게 닥쳤다.
올해 상반기 시 지역 전체 고용률은 58.3%로, 1년 전보다 2.0%포인트 하락했다. 이에 비해 군 지역 전체 고용률은 65.9%로 상대적으로 적은 0.9%포인트 떨어졌다.
정동욱 통계청 고용동향 과장은 ""이번 조사가 시행된 4월은 전국 취업자가 47만6천명 감소하는 저점이었는데 그 모습이 9개 도에도 반영됐다""며 ""취업자에서 농림어업 비중이 6% 정도로 작고 제조업과 대면서비스업이 중심인 시 지역이 농림어업 비중이 37%인 군 지역보다 코로나19 영향을 많이 받았다""고 설명했다.
한편, 근무지와 거주지 기준 고용률 차이를 살펴본 결과 경기 오산과 의왕, 의정부 등이 국내 대표적인 '베드타운'인 것으로 나타났다.
오산의 근무지 기준 고용률은 거주지 기준 고용률보다 21.3%포인트 낮았고, 의왕과 의정부도 격차가 각각 18.5%포인트, 17.2%포인트였다.
반면 경북 고령은 근무지 기준 고용률이 거주지 기준 고용률보다 35.1%포인트 높아 인근 지역에서 이 지역으로 통근하는 인구가 많은 것으로 집계됐다.
charge@yna.co.kr
▶코로나19 속보는 네이버 연합뉴스[구독 클릭]
▶[팩트체크] 코로나19가 탈모 원인?
▶제보하기",2020-08-25 12:00:00,연합뉴스,https://n.news.naver.com/mnews/article/001/0011836181?sid=101,고용동향
코로나19 고용충격 커질까…내주 발표 고용·금융시장 동향 주목,"다음 주에는 코로나19발(發) 고용 충격이 본격적으로 드러날 것으로 우려되는 4월 고용지표에 관심이 쏠릴 전망이다. 4월 카드승인액 등 소비 속보지표에 부진이 심화할지도 관심이다. 이에 따른 정부의 경기진단도 주목된다.
통계청은 13일 2020년 4월 고용동향을 발표한다. 3월에는 코로나19로 인한 고용충격이 본격화하면서 취업자가 19만5천명 감소해 글로벌 금융위기 이후 최대폭 줄었다. 취업자 감소는 2010년 1월 이후 처음이다.
휴업·휴직 확대, 일부 재정일자리 사업 중단 등으로 일시휴직자는 전년 동월보다 126만명 폭증한 160만7000명으로 증가폭과 규모 모두 통계작성 이후 최대를 기록했다. 일시휴직자는 직장이 있지만 일은 하지 않은 사람을 말한다.
기획재정부는 15일 최근경제동향(그린북) 5월호를 발간한다.
앞서 기재부는 4월 그린북에서 코로나19의 영향으로 내수 위축이 지속하는 가운데 고용지표가 크게 둔화하고 수출 불확실성이 증가하는 등 실물경제 어려움이 확대되는 모습이라고 진단했다.
실제 지난달 카드승인액은 1년 전보다 4.3% 줄어 2년 5개월 만에 마이너스로 전환했다. 백화점 매출이 약 35%, 할인점 매출은 14% 급감했다. 유커(遊客·중국인 관광객) 수는 1년 전보다 96.5% 줄어 역대 가장 큰 폭으로 감소했다.
한국은행은 앞서 12일 4월 금융시장 동향을 발표한다. 3월 중 은행권 기업대출은 18조7000억원 늘어나며 증가 폭이 통계 집계가 시작된 2009년 6월 이후 가장 컸다.
코로나19 대응을 위한 정책성 금융지원이 늘면서 4월에도 기업대출이 많이 늘어날 전망이다.
은행권 가계대출도 3월 한 달 새 9조6000억원 늘어나며 통계 집계가 시작된 2004년 이후 가장 큰 폭의 증가를 기록했다. 12·16 부동산대책에 따른 대출 규제에도 가계대출 증가 속도는 좀처럼 줄지 않고 있다.
아울러 주식투자 목적의 자금 수요가 늘면서 3월에 이어 신용대출 증가세가 이어질 것으로 보인다.
한은은 이어 13일 3월 중 통화 및 유동성 지표 통계를 내놓는다. 지난 2월 통화량(M2 기준) 증가율은 전년 동기 대비 8.2%로, 2016년 2월(8.3%) 이후 4년 만에 가장 높았다.
코로나19로 금융시장이 불안해지면서 대기성 자금 예치가 늘어난 영향을 받았다.
15일에는 한은에서 4월 수출입물가 통계가 나온다.
3월 수출물량은 반도체 경기 회복에 힘입어 전년 동월 대비 10.6% 증가, 2월(11.0%)에 이어 두 달 연속 두 자릿수대 증가율을 보였다.
금융당국은 코로나19 사태에 따른 소상공인·중소기업의 피해를 최소화하고자 다양한 지원 방안을 보완하고 있다.
최근 어려움을 겪는 자동차, 조선 등 주요 기간산업 협력업체에 대해서는 자금조달 애로를 해소하는 방안을 마련 중이다.
국책은행을 통한 대출, 프라이머리 채권담보부증권(CBO) 등 기존에 발표한 프로그램으로 자금 수요를 소화하는 방안을 우선 검토 중이다.
소상공인 긴급대출은 잠시 휴지기다. 소상공인 진흥공단과 기업은행[024110]에서 이미 받은 1차 긴급대출 신청분을 소화하면서 18일부터 시중은행에서 가동되는 2차 대출을 준비하는 작업을 동시에 진행한다.
[디지털뉴스국]
▶네이버 메인에서 '매일경제'를 받아보세요
▶매부리TV 구독하고 에어팟프로 득템!!
▶뉴스레터 '매콤달콤' 구독
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]",2020-05-09 09:31:04,매일경제,https://n.news.naver.com/mnews/article/009/0004571488?sid=102,고용동향
